userName,score,at,content
alfan syah,1,2026-07-03 19:14:20,"gmna sih, mau mulihin akun, udh klik opsi lupa sandi, trus udh masuk kode ke wa jga, gliran mau di pulihin, malah mnta pasword lgi, jelas² lupa pasword"
Muhammad Kevin,5,2026-07-03 19:13:17,mantap
Rafly Rizki,1,2026-07-03 19:06:43,"iklannya ngeselkn, tombol keluarnya aja segala pake di tipu tipu"
Bambang Agus Setiawan,5,2026-07-03 19:05:08,"market hrg murah & terjamin jika tdk sesuai dgn cepat dana di kembalikan yg pastinya dlm sistem manajemen sll membantu jika ada Kendala , thanks shopee"
DESYE EISTETIYANTI,5,2026-07-03 19:04:28,cepat
Wafiqa Zulfa,2,2026-07-03 19:00:28,"sebenarnya bagus aja sih,cuma gak tahan sama iklan nya"
Okarun Momo,1,2026-07-03 18:48:04,paling ga suka sama iklan nya dengan cara memaksakan klo kita haru download/ buka apk shoppe ini. tolong ini menggangu bgt buat apa apa bener bener menghambat pekerjaan 🙏🏻
Nana Pipi,5,2026-07-03 18:47:25,baguss
Sumar Arti,1,2026-07-03 18:32:51,"Paket jangan besar , Sudah paket nya besar, ongkir murah sekali , jarak pengambilan jauh , titik lokasi penerima tidak sesuai , 2 KM 10 KM Lumayan , harga bensin sudah mahal , biaya service motor mahal ,Kalau titik lokasi penerima tidak sesuai , ada biaya tambahan buat driver , terkadang ada customer tidak mau bayar parkir , pengambilan paket bayar parkir , anter paket bayar parkir ."
Alza Alza,1,2026-07-03 18:32:15,"aplikasi ter anj, iklan nya maksa bgt tau ga, trs kadang ada tombol yg palsu, benci bgt gw"
Ahmad Yaniji,5,2026-07-03 18:31:10,selamat pakai apk ini blum mengecewakan 👍
Gatam Tasti,5,2026-07-03 18:21:19,"Afkikasi,gampang di pahami dan terpecaya👍🏻"
nurhamidah naswa,5,2026-07-03 18:19:46,sangat membantu
Wawan Hermawan,1,2026-07-03 18:17:31,"Event bulanan yg angka kembar itu scam, ga ada namanya iPhone Rp.1"
Budiarti Saputri,5,2026-07-03 18:14:59,mantap
Aena Gibran,5,2026-07-03 18:11:47,sangat memuaskan
Jesicca Natalie Christiani,3,2026-07-03 18:11:02,"iklan nya sangat ganggu, padhal untuk aplikasi lumayan karena ada voucher dll. tapi iklannya sangat amat mengganggu, padahal tidak ditekan tapi langsung masuk ke aplikasi sendiri. tolong perbaiki"
Tikacandra Kirana,5,2026-07-03 18:05:09,Lovee bgtt sukakkk
Darwati Aja,5,2026-07-03 18:00:48,Puas
Eros Rosita,5,2026-07-03 17:58:02,shopee isthebes lah
Raffa Peang,2,2026-07-03 17:53:58,bukan masalah iklan tapi saldo di shopepay saya tidak bisa digunakan dengan alasan ganti perangkat baru seharusnya bisa membedakan mana perangkat baru dan mana perangkat lama
Muslimah Mahdiah,5,2026-07-03 17:50:39,"aku kurang setuju sama verifikasinya Shopee yg PIN SHOPEEPAY. masalahnya aku gk pernah masukin pin tapi pas mau login tiba tiba aja minta pin buat verifikasi. terus no telponku juga cuman 1, jadi susah buat login ke akun lain karna ujung ujungnya mintanya pasti PIN SHOPEEPAY lagi. jadi aku hapus deh shopeenya daripada stres lempar hp. dan buat admin-nya yah. jangan cuman ulasan baek doang yg dibales, sementara yg kritik gk dihiraukan!! aku kasi bintang lima bukan karna suka yah!!"
Yoga Mumtaz,5,2026-07-03 17:49:39,seru sekali belanja di shope dengan harga terjangkau tapi kualitas barang bagus
Alsen Hfis,1,2026-07-03 17:47:59,ini saya nggak bisa check out alasannya karena ada tunggakan spaylater padah ga pernah pake spaylater kocak ini apk gj
anggraini,1,2026-07-03 17:47:21,"ada gila gilanya nii shopee, ngasih voucher giliran dipake trs di check out eh sama si shopee malah di batalin wkwk, klo emang mau dibatalin ngapain ngasih voucher kocakk gua udah cape² war malah dibatalin"
Zakia Azzuhra salim,3,2026-07-03 17:47:11,iklan ny plsss akhh
HKG JAH,1,2026-07-03 17:41:01,ganggu
Reksa Rizki,5,2026-07-03 17:40:08,mantap
Intan Prames Swari,5,2026-07-03 17:39:25,apk nya sdh bagus tapi bisa gak sih hos² saat live terutama perempuan diharuskan berpakaian sopan jangan vulgar gtu
Enjelika Enjel,5,2026-07-03 17:37:54,semua yg di pesan sesuai
Utar Tita,5,2026-07-03 17:37:52,"Ok banget N recommend! 👍👍👍👍👍👍👍... Tapi akhir2 ini app shopee sering LEMOT, trutama sejak bnyk iklan2 video ... ini update yg ke-2 ; Shopee SANGAT2 LEMOOOOTTT"
Nada Hayati,1,2026-07-03 17:36:52,iklannya maksa
Aku Dah,1,2026-07-03 17:32:28,iklan nya maksa banget sampai saya hampir gila
Pak Mat,5,2026-07-03 17:28:02,Alhamdulillah membantu dalam keseharian. dg teknologi sekarang. semakin mudah dibberbagai bidang dam mudah di akses. perangkat terbilang sudah jadul. tapi Alhamdulillah masih bisa di gunakan
Mark,1,2026-07-03 17:23:41,aplikasi HARAM
Saefudin Arvino,5,2026-07-03 17:22:33,puassekali
F12_Adelia Dwi Handayani,1,2026-07-03 17:22:00,iklan
Nana Chan,1,2026-07-03 17:18:25,iklan maksa
SA-BRINA PUTRI A,1,2026-07-03 17:17:46,"singkat aja, iklan anda terlalu merepotkan dan terlalu memaksa!"
Papah Mamah,1,2026-07-03 17:16:02,PELAYANAN KIRIMAN TERBURUK DI DUNIA DAN SEPANJANG SEJARAH.....!!!!
Nanda,1,2026-07-03 17:15:20,klo iklan gausah maksa lah woi. lama2 gw uninstall ini apk
Zalfa Juneeta,5,2026-07-03 17:14:09,sangat berguna
Mr. Nand,1,2026-07-03 17:12:08,"Coba di perbaiki lagi sistem pelaporan, kenapa hanya mendengar 1 pihak langsung main blokir, harusnya shopee bisa cek rating toko dan periksa, kan ada banyak ulasan pembeli yg di sertai foto dan video. Semuanyakan bisa di periksa dulu, Jangan main blokir."
Ayam elba aceh Ayam elba,5,2026-07-03 17:02:22,sangat bermanfaat bagi kami rakyat kecil
Kelly,1,2026-07-03 17:02:07,Shopee pilih kasih soal harga
Khussoh Bilfadilah,1,2026-07-03 17:00:52,apk paling berisik promosinya gw gk dowload aja muak sama iklan yg 1 ini
Sudi Anto,5,2026-07-03 16:58:06,sangat cocok untuk belanja online disini.produknya sangat menarik
Aeni 2022,1,2026-07-03 16:55:44,"kurangin iklan nya, maksa iklan nya panteq"
Hamba Allah,3,2026-07-03 16:54:28,"iklannya maksa. gw nonton drachin ada iklan. iklan>jeda>masuk aplikasi sendiri> balik aplikasi sebelumnua>iklan shopee 5 detik> pencet X> masuk shopee> balik aplikasi, pencet X>masuk shopee. ""makanya premium"" HEH IKLAN LU ADA DIMANA MANA GA DIPENCET APA APA TETEP MASUK SHOPEE"
Dzxnn z,1,2026-07-03 16:54:18,kalau lu bikin iklan jangan spam blok
Wahidatun Nafi'ah,5,2026-07-03 16:54:15,banyak bantu bangettt
Ma Chan,1,2026-07-03 16:45:06,sistemnya pengiriman Instan parah banget sekarang.
Asih Ameliah,1,2026-07-03 16:44:20,"sangat buruk untuk hal iklannya itu terlalu memaksa banget dan iklan nya dimana-mana , tapi kalo untuk Belanja nya bagus 👍cuman masalah nya di iklan nya saja yang bikin saya kesal dan muak banget dan itu ganggu saya ketika lagi baca, nonton tiba-tiba ada iklan shopee dan bukan masalah apa nya tapi yang bikin saya muak,kesel itu adalah iklan nya banyak dimana-mana,tombol X nya itu kecil dan bohong dan ada beberapa aplikasi ketika saya lagi buka dan itu tiba-tiba buka ke aplikasi shopee nya."
Indah Kamore,1,2026-07-03 16:37:12,iklannya maksa banget!!!!! gak suka
Sandi321 Cahyono,5,2026-07-03 16:36:09,"Shopee sangat membantuku untuk membeli produk/barang apaun dan bersama shopee belinya gampang dan banyak promo, yuk beli di shopee"
Sevti Putri aprilia,5,2026-07-03 16:34:55,apk bagus bagi sya
Iin Indriyani,1,2026-07-03 16:34:24,sekecewa dan semenyebalkan itu kalian ya gangu iklannya
Kartila Telot,5,2026-07-03 16:34:08,semoga membantu
eva agustina,4,2026-07-03 16:33:07,promo nya Adain stiap hari dong
Hja pitriani pancce Hja revy,5,2026-07-03 16:29:51,saya akan mencoba untuk selalu berbelanja di aplikasi sppi .
Acho Sumardi,5,2026-07-03 16:26:16,Saya ingin menarik koin
Wan mutha bayhaqiy Ubay,5,2026-07-03 16:25:55,mantap bgtt
wati puspita dewi,5,2026-07-03 16:22:53,Shopee mantul murah
Navisha Assyifa,3,2026-07-03 16:21:56,oy admin coba iklan nya didikitin bosen iklan nya itu terus
Rahmad Hidayat,1,2026-07-03 16:20:58,"hati hati,banyak penipuan mengatas namakan admin dari apk ini"
Qiara Syakira,5,2026-07-03 16:19:37,sangat baik
Muhammad Alfath Hilaby,1,2026-07-03 16:19:07,"iklannya ngeselin banget sialan, tiba tiba masuk ke aplikasi, maksudnya apaan"
Ridwan Ahmad,5,2026-07-03 16:17:23,"Alhamdulillah Mantap promo²nya, pengiriman dan toko²nya Jujur selamanya berbelanja disini, asal teliti membaca deskripsi n promo produknya.."
Kiki Kiki,1,2026-07-03 16:15:45,iklannya ganggu
Maranggi Sinaga,1,2026-07-03 16:14:35,ini iklannya maksa jirr
Fafa Turtur,1,2026-07-03 16:12:13,iklan sampah
Bayu Nurwendo,1,2026-07-03 16:11:21,ribet dibuat 2 app eh diblokir seenaknya walau dah VIP limit gede tetep aja antri cs lama masalah gak langsung selesai nunggu lagi
aisyah nur fadillah,1,2026-07-03 16:10:42,"IKLAN LU MAKSA BANGET, SANGAT MENGGANGGU"
fara novelina,5,2026-07-03 16:02:06,"meskipun kadang hpku agak lemot, tapi kalau beli makan atau belanja sering lewat shopee dan shopeefood.sukses dan sehat selalu owner shopee dan semuanya baik penjual di shopee maupun kurir yang mengantar.."
Kesatria Kegelapan (Darkness),3,2026-07-03 15:56:51,"Berfungsi dengan baik di android 8 + Juga banyak fitur belanja yang menarik, cuma keseringan update data kurang efisien dalam belanja. terlebih iklan di apk lain harus masuk ke apknya"
Nadya Safira,5,2026-07-03 15:55:36,sangat bagusss
Suhada Syam,5,2026-07-03 15:52:35,untuk belanja aku pilih shopee...
24-Muhammad Imron Afandi,1,2026-07-03 15:52:29,Tranfer gagal ga masuk danannya
Rafa Bukhory,4,2026-07-03 15:48:39,tetapi aku sekarang dh ngk bisa cod lgi
Asta Pada,1,2026-07-03 15:47:50,banyak iklan
Akun Baru,1,2026-07-03 15:47:45,lama banget datang nya mau pake ini sendal ku
Bilqisa Ayesya,5,2026-07-03 15:47:04,di tanaman slalu ok tp di gula merah banyak yg palsunya...shopee ok
Maria Magdalena Yeni,5,2026-07-03 15:46:19,sangat mudah untuk digunakan
Roni Abdulgani,1,2026-07-03 15:46:14,"pengiriman lama kurir sudah di tugaskan eh paketnya balik LG ke gudang, akhirnya saya uni instal apk shopee nya terimakasih. semoga cepat bangkrut amin amin yrb 🤲"
Mirja Hilmi,5,2026-07-03 15:42:29,good
Altha funnisa,1,2026-07-03 15:40:55,akun saya diblokir dan audah chat cs tapi gidak ada solusi sama sekali🙏🏻🙏🏻
Rita Meliyanti,5,2026-07-03 15:39:46,bagus
Veronica Saragih,1,2026-07-03 15:39:23,untuk Shopee tolong dong di perbarui lagi kenapa waktu saya pesan pake COD kenapa gk bisa lagi si padahal dari tokoh yg jual bisa COD kenapa waktu saya pencet gk bisa lagi
Jey 121,5,2026-07-03 15:36:05,bagus
Abjayoni Anggraeni,1,2026-07-03 15:35:03,iklanmu menganggu.
Sely Sely,1,2026-07-03 15:31:42,"awal² suka, to pemgiriman lama,iklan bnyk bgt di apk lain tlong Lh shopi lu udh apk laku ga ush cpr Lh bnyk iklan di apk² lain muak gw an7 udh Lh hps aja noh iklan lu di apk² lain muak gw, dan lg pemgiriman ny sgt² lama skli sya cpe nggu ny"
Herman Bokek,5,2026-07-03 15:29:39,"saya puas belanja di shopee, tidak repot juga"
herwind prayogo,1,2026-07-03 15:28:50,"klo buat iklan di pikir mas, jangan tiba tiba masuk apk, KLO kikir ada batesnya mas"
Isaiyah,5,2026-07-03 15:25:33,keren..n mantap
Asep Marpu,5,2026-07-03 15:24:21,splatter d bekukan nya kok lama amat ini shopee
Alfi Zahrotus,1,2026-07-03 15:23:29,biaya admin makin hari ga ngotak
Elsa Darmayanti03,2,2026-07-03 15:22:09,"Sumpah iklannya ngga banget, ngga dipencet pun malah buka aplikasi. iklan sekali dua kali bolehlah tapi ini berkali"" sampe kesel banget yang mau ngembaliin karena muncul dan masuk aplikasi berkali-kali"
Asy- Syafiyah,4,2026-07-03 15:21:21,kenapa setiap saya pesan kipas mini selalu dibatalkan sistem?. Bukan hanya 1 atau 2 x tapi udah sering banget
Alika Fatiyaa,3,2026-07-03 15:20:20,"Asli keganggu banget sama iklannya! Tiap ada iklan muncul, tombol silangnya sengaja gak bisa dipencet. Begitu diklik malah langsung maksa masuk ke aplikasi Shopee, jebakan banget dan bikin risih. Tolonglah diperbaiki. Plusnya sih di sini emang banyak potongan harga sama diskon yang lumayan banget buat belanja hemat. Tapi ya gitu, kualitas barangnya kadang kayak judi, beberapa kali beli malah dapet barang yang gak sesuai sama deskripsinya."
Maksum Star,5,2026-07-03 15:16:13,sungguh memudahkan saya membeli barang
Warti Yah,5,2026-07-03 15:11:55,ok bgt
Ridhwan Ridhwan,5,2026-07-03 15:10:27,puas belanjanya
Siddiq Asolole jos,1,2026-07-03 15:08:40,"Iklan dimana-mana, iya tau lagi promosi, tapi tau tempat lah, gajelas banget jadi apk, minimin iklan di beberapa aplikasi atau web kek, ganggu💢"
Diana Gas,5,2026-07-03 15:07:33,sangat Bagus
Rachelia Ramadhani,1,2026-07-03 15:06:22,"tolong ya kalau bikin iklan jangan maksa banget, belum di pencet tiba-tiba masuk ke aplikasi sendiri, annoying banget tau ga. orang kalau butuh juga bakal beli disitu kok, lama lama iklan lu ngeselin dan bikin males yang mau make aplikasinya"
Qaisara Zhafira,3,2026-07-03 15:03:16,"kalo ngasih iklan jangan maksa dong , gara gara iklan ini hp ku jadi lag , trs tanda X nya kecil minimal kalo ngasih tanda X yang besar dikit"
Reinaldi 123,5,2026-07-03 15:02:57,sangat membantu dan kebutuhan menjadi simple...pengiriman selalu cepat..kurir tanggap..👍👍
Hari yanto,5,2026-07-03 14:57:39,capek jg ya tiap bulan hrs update ...
Hasib Ali,1,2026-07-03 14:53:44,saya kasih aplikasi ini rating(juara dan bintang) satu sebagai aplikasi raja iklan
ferry mardian,5,2026-07-03 14:50:38,Good Jobs...👌👍🫰🙏
Putri Oppo,5,2026-07-03 14:48:23,Sejauh ini puas SMA pesanan
Asma Asmanita,5,2026-07-03 14:47:00,makasih shopee semoga sukses terus kedepannya
Nur Hasiah,5,2026-07-03 14:45:10,sopiee oke pokok nya pengiriman nya juga cepat kurir nya ramah. paling suka belanja di sopiee
ris maa,5,2026-07-03 14:44:07,"sebenarnya apk ny lumayan bgus TAPI lumayan bnyk penjual yg uda berstempel ORI ternyata menjual brng palsu, dan IKLAN NYA MERESAHKAN SEKALI!! , iklan nya bnyk bgt jebakan ky mksa bgt buat msuk ke apk shoope nya kalau ga ke ply store. PLEASE bikin iklan sewajarny aj,bnyk bgt pihak yg dirugikan krna iklan yg meresahkan.justru krna iklan ini mknya sebagian orang"" mls bgt sma apk shoope."
satya arya,1,2026-07-03 14:41:41,terlalu banyak iklan.
Hafiz Tanjung,5,2026-07-03 14:37:39,aplikasi yang berguna sekali bagi kehidupan sehari hari
M Rofal,5,2026-07-03 14:35:27,Sangat membantu untuk berbelanjaa
Isra Fadila,1,2026-07-03 14:34:27,"apk ter aneh menurut sejarah HP gua yng di pesan bedak yng utuh tpi pas datang bedak yng uda pecah""parah amat ni apk nyesel gw download nya"
Aji Purnomo,1,2026-07-03 14:31:55,"jelek, makin banyak biaya2 tambahannya"
Krisman Sidempuan,3,2026-07-03 14:31:36,"aplikasi nya mudah di gunakan tetapi bisa tidak jangka waktu paket nya datang itu di Tamba, bisa ajh kn kita tidak lagi dirumah , paket datang tiba tiba DA di pulangin ajh, blom juga 24 jam. kesel ajh, tolong min di bantu dong"
Dede Syaiful Anwar,5,2026-07-03 14:30:46,oke
Erwina Mary,5,2026-07-03 14:30:40,memudahkan saya yg tinggal sendirian
Bunga Ayunda,1,2026-07-03 14:28:59,costumer service lama untuk menyelesaikan masalah
KADEK RIZAL,1,2026-07-03 14:26:43,"aplikasi apa ini, sudah pesan pake ekspedisi instan tapi gk dateng dateng, giliran pas gw kirim bukti foto kalo paket gw itu instan kena pelanggaran, katanya gw spam, aplikasi aneh"
Andreas Zakaria,1,2026-07-03 14:25:10,"sangat payah tidak kembali diaktifkan dan mengecewakan saya, spinjam dibekukan karena cuma telat berapa hari saja karena saya kena musibah kecelakan, sungguh mengecewakan"
Rangga Bima,1,2026-07-03 14:24:17,"kenapa mesti ada subtotal ukuran khusus? memberatkan pembeli saja, masa belanja 500rb, subtotalnya kena 300san, jadi pembeli mesti bayar 800rb. dan akhirnya UNNINSTALL, beralih ke APLIKASI sebelah."
Desta Fauzia R,5,2026-07-03 14:23:04,mantaps
sukri yanto,5,2026-07-03 14:21:04,sangat memudahkan belanja
Ferri irawan,1,2026-07-03 14:20:52,sekarang pengiriman y sangat sangat lambat ada yg sampe 2 minggu
ghotta bem,5,2026-07-03 14:18:50,shopy is teh best
Milham Ilham,1,2026-07-03 14:15:55,"aplikasi jelek gk bisa ksh solusi,gk cs nya gk pihak gudang nya, harus nya castamer d ksh permudah, bukan bertele2 soal complain pesanan, kapok belanja d sini.username hartooo, terlalu buruk buat sy ini aplikasi, soal pengembalian produk, d suruh ikut prosedur ini itu udh d ikutin tp ttep gk bisa ksh kepuasan konsumen,mending LAZADA proses tanpa ribet, selalu ksh kepuasan konsumen,bikin kapooooook belanja d sini."
Jayadi Jayadi,5,2026-07-03 14:15:10,belanja di shopee murah kualitas bagus
keren. lesmana,1,2026-07-03 14:14:25,apk yang iklannya paling nyebelin
Mamino Com,1,2026-07-03 14:14:21,"Lama lama shope Hancur hanya gara2 kurir skrg makin banyak tingkah. Herann yaa stiap pesen slalu di censel samaa kurir dengan alasan tidak di rumah , padahal EMG Dy yg ga ada kerumah . Kalo ga niat krja gausa jadi kurir bobo aja di rumah. Bukan 1 , 2 org yg di giniin Dy tapi banyakkk! Spx Tanjung Morawa ,Deli Serdang Nama kurir : Tomy Rute : GG.Pendidikan pondok pool"
Novania Clara,1,2026-07-03 14:12:58,"Tolong iklannya dikurangi. jujur, saat ini udh di fase muak banget sama iklan² lho itu, Oke. Terima kasih."
Ncaa Saa,5,2026-07-03 14:12:24,mantullll
Muhammad Hafidz Abdillah,1,2026-07-03 14:11:02,"aku nggak suka sama iklannya yg padahal gk pencet malh masuk² sendiri, ganggu sumpahh !!!"
Kia Aee,5,2026-07-03 14:09:53,"baik ,,dan lancar untuk teranfer"
yanuar adi,5,2026-07-03 14:09:49,jos jis
heru aditama,5,2026-07-03 14:08:51,"sangat membantu, tolong pengirimannya yang gratis semua, dan tambahin bonusannya koin sama diskony"
Karsom,5,2026-07-03 14:05:47,Thanks shoppee
Sahrun Korompot,5,2026-07-03 14:03:01,"Alhamdulillah bagus, kurirnya ramah memuaskan"
Siti Arida,1,2026-07-03 14:02:47,"bisa gk sih iklannya jangan maksa, ngeganggu banget tau ga. saya lagi buat tugas tiba-tiba iklan pas mau pencet tombol silang malah masuk ke sopi, plis itu tanda silangnya di besarin ngapa. GANGGU BANGET."
Arkhan Maulana hamid,1,2026-07-03 14:00:35,woy kalo buat iklan yang mikir dikit la aku ni lagi main game mau selesaikan misi malah nongol terus kau kenapa iklan nya nggak di buat simpel aja kadang kadang masuk Shopie sendiri lagi kalo buat iklan ya yang benar aja jangan kau tiba tiba muncul langsung teleport ke shoope malas la setiap menit muncul kami ini pun risih la kau pikir semua orang suka ikan kau enggak bos pesan saya : buat la iklan lebih Simpel juga jangan setiap menit muncul minimal iklan itu 1 atau 2 kali doang jangan berkali
Upin Ipin,1,2026-07-03 13:59:50,aplikasinya ok. tapi kalo ngiklan di aplikasi lain ga bisa dihentikan.
Paidjo Suroatmodjo,5,2026-07-03 13:59:44,mAntab
diki pratama,1,2026-07-03 13:57:58,"itu kurir kalo gamau nganterin minimal wa aku napa ngga DIAM MULU APA NGIRANYA GW ORG SABARAN APA GWW UDAH NUNGGU LAMA LAMA KAGA DI ANTERIN MAKSUDNYA GIMANA SIH, KALO MALES NGANTERIN GAUSAH KERJA ITU KURIR TIDUR AJA MALES MALESAN KAN ENAK DARI PADA KERJA"
Ferdy irene,1,2026-07-03 13:57:46,Shopee sdh gak fitur CODnya...banyak sdh yg beralih ke apk sebelah
Yuyun Oktaviana,1,2026-07-03 13:56:41,"Kebanyakan iklan sangat menganggu, orderan shopefood susah banget dpt driver sampe 1jm lebih ! tolong lebih d tingkatkan lagi !!"
amell,1,2026-07-03 13:56:20,"asli, saya dibuat kecewa berkali-kali sama aplikasi sampah ini. aplikasinya nyediain voucher sendiri, saya belilah pakai vouchernya. udah dikirim, eh malah sistem ngebalikin lagi ke penjual. mana udah dibayar pakai shopeepay lagi, pas mau mindahin uang shopeepay ke ewallet lain malah nggak bisa, akun dibatasi. maksudnya apasih? saya nggak ngapa-ngapain loh, asli ini jahat banget, uangku disitu nggak dikit. tolonglah ini"
Salwa Andini,1,2026-07-03 13:56:07,aplikasi maksa banget iklanya🙂
Reimon R87,5,2026-07-03 13:55:59,marketplace favorit andalan keluarga disini♥️
Nofi Safrita,1,2026-07-03 13:54:07,"udah banyak loh yang komplain, iklan Lo tuh ganggu, di aplikasi lain selalu muncul, di klik x malah maksa masuk, di komplain pasti di jawab iya iya doang, ya di perbaiki beneran dong, ganggu banget mana maksa lagi, ngeselin banget"
YOHANES PETRUS SULASMONO,5,2026-07-03 13:54:03,Oke
Husain Al Kebluk07,5,2026-07-03 13:52:58,apk paling bisa ngerti banget semua kebutuhan
Shedenk Sumpek,5,2026-07-03 13:52:39,sangat baik
Atika Zahra Ramadani,1,2026-07-03 13:51:03,iklanny mksa bgt
Alma Darmawan,1,2026-07-03 13:50:58,mantap banget
ALDI PRATAMA,1,2026-07-03 13:50:41,bonusnya dikit
abdu elhans,5,2026-07-03 13:50:21,Shopee terasa telah menjadi kebutuhan pokok sehari-hari.
Apagus Sitok,5,2026-07-03 13:50:17,mantap
Tri Maulana Indarsyah,3,2026-07-03 13:49:34,Bisa gasih gausah nipu iklannya
li lynn,3,2026-07-03 13:48:10,akun saya hanya untuk belanja saja. saya tidak suka akun saya di follow para penjual. kenapa sekarang akun akun ga jelas itu ga bisa diblokir??????
Viva Vivana,5,2026-07-03 13:45:42,shopee is the best
Muhammad Reza,1,2026-07-03 13:44:00,"Surat terbuka untuk shopee... iklan modus nya di kurangin , kemarin bikin tugas muncul iklan shopee pas pencet tanda silang malah masuk ke aplikasi nya.... dan alhasil tugas saya hilang.... padahal saya mengerjakan sampai larut malam... dan gara gara iklan shopee tugas nya hilang gak tau kemana.... tolong di kurangin iklan yang gak masuk akal"
Calysta Aurora,5,2026-07-03 13:43:20,sangat puas blanja dishope semoga dpt diskon blnja
Epan Dimas,1,2026-07-03 13:38:17,aplikasi paling sangat buruk mau daftar aja di persulit padahal udah jadi tinggal pencet ok tulis ada masalah lah ada eror lah sangat busuk
SELAMAT HARDIYANTO,5,2026-07-03 13:38:03,ok
Genzio Alfarizqi,4,2026-07-03 13:37:58,iklannya ngeselin
Andika Saputra,5,2026-07-03 13:33:54,lemot
Nur Alam,3,2026-07-03 13:33:36,Sekarang pengiriman nya lambat sumpah
Annisaicah Anisaicah,4,2026-07-03 13:32:07,kalo mau ngedonlod minimal yg cepet jangan lama terus ga bisa padahal baru beli Kouta
Roni Herdiana,5,2026-07-03 13:31:46,sangat mmbantu
Umbu Dores,5,2026-07-03 13:29:53,senang sekali
Apheng Apheng,1,2026-07-03 13:29:30,klau play later gk bisa di ksh jgn suruh orang bolak balik pmelakukan pengajuan.
Rubi Vian,1,2026-07-03 13:29:08,ga bisa tenang ada iklan shopee ini di pencet keluar kaga bisa hayu wehhh maksaa kudu nonton iklan nya lol
Kang Hari official (Kang hari),5,2026-07-03 13:28:56,sukses terus makin jaya
Zakaria Zaka,5,2026-07-03 13:27:10,yg terbaik
ibnu alwan,5,2026-07-03 13:26:52,"maaf admin, kalo ada masukan itu mohon ditindak lanjuti. jgn cuma dijawab aja. saya lihat sudah banyak banget yg komplain shopee kok jadi super lelet aplikasinya. tiap buka apa2 pasti blank putih. tpi udah berapa hari masih sama aja. gak ada perbaikan apa sih?? jgn cuma dijawab aja komentar kami. cepat diperbaiki apikasi nya"
Naura Fitria,5,2026-07-03 13:24:22,enk banget
Krido Mulyo,5,2026-07-03 13:24:06,josjis
Dina Baik,5,2026-07-03 13:22:56,"Sangat puas dengan pelayanan Customer Service Shopee. Kemarin saya sempat melakukan kelalaian salah transfer dana, tapi tim Shopee dengan sigap membantu memprosesnya sampai uang saya kembali utuh via adjustment ShopeePay. Terima kasih banyak atas bantuan dan pelayanannya yang luar biasa."
Adi Nur Rohkhim,1,2026-07-03 13:21:28,tidak adil. dalam proses return barang. pembeli sangat dirugikan
Sobi Sobi,4,2026-07-03 13:20:18,yang benar lah udah tiga paket yang telat datang nya kek mana lah nih
Rafa,1,2026-07-03 13:19:52,iklan mulu
Vanisa Zahra,1,2026-07-03 13:17:47,"makin lama makin ngga jelas, harga ngga sesuai pas cekout"
Fajara Mooza,2,2026-07-03 13:17:42,"koq makin lama ya pengirimannya ya...padahal sebelumnya aja mau mendekati lebaran cuma 2 hari pesanan sdh sampai ,tapi skrg udh seminggu msh aja barang blm datang"" padahal pesanan saya byk loh..& mau cepat"" di pakai ...nti kalo di cansel gk terima. ."
Putri Caniago,1,2026-07-03 13:15:41,"iklan termaksa bangett, gangguu dispam iklan kaya bgnian mulu"
Adzkia,5,2026-07-03 13:13:36,mantap
Karnetti Mahulae,5,2026-07-03 13:13:10,"sangat puas belanja di shopee,"
Naila Ayu wulandari,1,2026-07-03 13:13:05,"suka belanja disini diskon nya banyak tapi maaf iklan nya nyebelin poull.tombol ""x""nya kecil di pencet pun malah masuk aplikasi tanpa ijin.udah berkali kali maaf iklannya tolong di benerin at least tombol x nya lebih besar dan gak tiba tiba masuk aplikasi tanpa ijin."
Hideyashi Kisuki,1,2026-07-03 13:11:47,"g jelas bnget plis, yg dikeranjangin motif apa yg muncul dikeranjang berubah jadi motif lain, perbaiki lah weh bug inii!! jadinya salah kan yg dipesen, mau direturn ntar sistem cod dihapus, cih"
handika hazratamal,5,2026-07-03 13:10:35,mantap
Ali Setiawan,5,2026-07-03 13:09:48,mantap
Jamal Abduh,5,2026-07-03 13:07:25,ok
Mila Ila,5,2026-07-03 13:06:15,Kren
Suharno Player,5,2026-07-03 13:04:05,sangat membantu dan responsip ketika tanya
Mina Mina2,5,2026-07-03 13:02:47,puas
Arya Pratama,1,2026-07-03 13:02:29,aplikasi tidak memuaskan
Asep Saepuloh,5,2026-07-03 13:00:57,mantap
blackmamba blackmamba,5,2026-07-03 13:00:09,sangat cepat
Evan Eliezer,5,2026-07-03 12:59:44,aplikasi keren
aura lytia,1,2026-07-03 12:59:15,iklan terlalu dipaksakan
Umi Kalsum,5,2026-07-03 12:58:23,sangat puas untuk pelayanan KPD konsumen.. n walaupun sistem belanja online tapi ada kepastian seolah dekat dg konsumen sprti blnja offline 👍👍
Psi. Devianna Sinurat,2,2026-07-03 12:58:18,aku suka belanja di shopee tapi aku kasih bintang dua karena sudah apk shop terkenal iklan nya sangat meresahkan dan memaksa banget
